time,link_id,Q_exchange,deta,dV_exchange,cumulative_dV,eta_1d,eta_2d,mode,iteration_count
2.0,early_link,0.37207354111788066,0.5799999999999998,0.7441470822357613,0.7441470822357613,0.82,0.2400000000000001,fixed_interval,1
2.0,front_main,4.531559078106415,0.0,9.06311815621283,9.06311815621283,0.24000000000000007,0.24000000000000007,sub,2
4.0,early_link,0.33009575112323697,0.5553093047826758,0.6601915022464739,1.4043385844822351,0.8168659891401018,0.2615566843574259,fixed_interval,1
4.0,front_main,4.6064678291516135,0.0,9.212935658303227,18.276053814516057,0.24000000000000007,0.24000000000000007,sub,2
6.0,early_link,0.41653598770136746,0.5595874773473988,0.8330719754027349,2.23741055988497,0.8224187124343145,0.2628312350869158,fixed_interval,1
6.0,front_main,4.610152085706376,0.0,9.220304171412751,27.49635798592881,0.24000000000000007,0.24000000000000007,sub,2
8.0,early_link,0.6408504909476265,0.5716655357627564,1.281700981895253,3.519111541780223,0.8360842523120698,0.2644187165493135,fixed_interval,1
8.0,front_main,4.581098028801999,0.0,9.162196057603998,36.65855404353281,0.24000000000000007,0.24000000000000007,sub,2
10.0,early_link,0.8330256558330573,0.580974215431277,1.6660513116661146,5.185162853446338,0.8474857693626766,0.2665115539313996,fixed_interval,1
10.0,front_main,4.540862131943319,0.0,9.081724263886638,45.740278307419445,0.24000000000000007,0.24000000000000007,sub,2
12.0,early_link,0.9035138094290489,0.5827502209327857,1.8070276188580978,6.9921904723044355,0.8518959908258347,0.26914576989304895,fixed_interval,1
12.0,front_main,4.49562627574434,0.0,8.99125255148868,54.73153085890812,0.24000000000000007,0.24000000000000007,sub,2
14.0,early_link,0.8691515627155795,0.5788820703007547,1.738303125431159,8.730493597735595,0.8503403890700568,0.2714583187693021,fixed_interval,1
14.0,front_main,4.448454873117944,0.0,8.896909746235888,63.62844060514401,0.24000000000000007,0.24000000000000007,sub,2
16.0,early_link,0.7710251543105482,0.571549391609784,1.5420503086210964,10.272543906356692,0.8450121652512324,0.27346277364144833,fixed_interval,1
16.0,front_main,4.40607392139981,0.0,8.81214784279962,72.44058844794363,0.24000000000000007,0.24000000000000007,sub,2
18.0,early_link,0.6479033529214656,0.5629210086775562,1.2958067058429312,11.568350612199623,0.8378917376200358,0.2749707289424795,fixed_interval,1
18.0,front_main,4.369996103799676,0.0,8.739992207599352,81.18058065554298,0.24000000000000007,0.24000000000000007,sub,2
20.0,early_link,0.5255533284340947,0.554363343514638,1.0511066568681895,12.619457269067812,0.8303438595363071,0.275980516021669,fixed_interval,1
20.0,front_main,4.33780177672908,0.0,8.67560355345816,89.85618420900114,0.24000000000000007,0.24000000000000007,sub,2
22.0,early_link,0.4144417683274124,0.546393138651641,0.8288835366548248,13.448340805722637,0.8229727517990839,0.27657961314744295,fixed_interval,1
22.0,front_main,4.316387043872619,0.0,8.632774087745238,98.48895829674638,0.24000000000000007,0.24000000000000007,sub,2
24.0,early_link,0.31558815179397004,0.539008095401962,0.6311763035879401,14.079517109310578,0.8158410844348726,0.2768329890329106,fixed_interval,1
24.0,front_main,4.303205387275431,0.0,8.606410774550861,107.09536907129724,0.24000000000000007,0.24000000000000007,sub,2
26.0,early_link,0.22879380224588947,0.5321179498156288,0.45758760449177893,14.537104713802357,0.8089170228867304,0.2767990730711017,fixed_interval,1
26.0,front_main,4.2970340374409455,0.0,8.594068074881891,115.68943714617913,0.24000000000000007,0.24000000000000007,sub,2
28.0,early_link,0.15281745274986347,0.5255106146741777,0.30563490549972694,14.842739619302083,0.8020440964471726,0.2765334817729949,fixed_interval,1
28.0,front_main,4.2986815529930755,0.0,8.597363105986151,124.28680025216528,0.24000000000000007,0.24000000000000007,sub,2
30.0,early_link,0.08683572123352237,0.5188853805068874,0.17367144246704475,15.016411061769128,0.79496549424671,0.27608011373982266,fixed_interval,1
30.0,front_main,4.304305947966034,0.0,8.608611895932068,132.89541214809734,0.24000000000000007,0.24000000000000007,sub,2
32.0,early_link,0.03499281387862992,0.5121420531063964,0.06998562775725985,15.086396689526389,0.787618568965367,0.2754765158589706,fixed_interval,1
32.0,front_main,4.3118936223245985,0.0,8.623787244649197,141.51919939274654,0.24000000000000007,0.24000000000000007,sub,2
34.0,early_link,0.010567366690587736,0.5050205936623484,0.021134733381175472,15.107531422907565,0.779790514991397,0.2747699213290485,fixed_interval,1
34.0,front_main,4.312099339145543,0.0,8.624198678291085,150.14339807103764,0.24000000000000007,0.24000000000000007,sub,2
36.0,early_link,0.0003627356406463033,0.4971256109679174,0.0007254712812926066,15.108256894188857,0.7711513383047922,0.2740257273368748,fixed_interval,1
36.0,front_main,4.311434419823854,0.0,8.622868839647708,158.76626691068535,0.24000000000000007,0.24000000000000007,sub,2
38.0,early_link,0.0,0.4884868134109896,0.0,15.108256894188857,0.7617503574916294,0.27326354408063985,fixed_interval,1
38.0,front_main,4.305200755440736,0.0,8.610401510881472,167.37666842156682,0.24000000000000007,0.24000000000000007,sub,2
40.0,early_link,0.0,0.4794103955485702,0.0,15.108256894188857,0.7516506740025112,0.272240278453941,fixed_interval,1
40.0,front_main,4.292682283782408,0.0,8.585364567564817,175.96203298913164,0.24000000000000007,0.24000000000000007,sub,2
